Valcu ::: Cristina-Maria	F	ROMANIAN-TURKISH
Görlach ::: Agnes	F	GERMAN-FRENCH
Reid ::: Victoria Louise	F	ENGLISH
Coyle ::: Séamus	-	ENGLISH
Tsakiris ::: Manos	M	GREEK
Wolfson ::: Marla R.	F	ENGLISH
Geng ::: Zhirong	M	CHINESE
Wang ::: Zhilin	-	CHINESE
Nuvolone ::: Mario	M	ITALIAN
Aguzzi ::: Adriano	M	GERMAN-ITALIAN
Callus ::: Bernard A.	M	ITALIAN-FRENCH
Ali ::: S. Asad	M	ARAB
Shibata ::: Shigenobu	M	JAPANESE
Ji ::: Baohua	-	CHINESE
Hillebrands ::: Jan-Luuk	M	DUTCH
Kossida ::: Sophia	F	GREEK-JAPANESE
Luo ::: Haiwei	-	CHINESE
Qian ::: Zhuyin	-	CHINESE
Gao ::: Wentao	M	CHINESE
Ligasová ::: Anna	F	SLAV
Antonakaki ::: Despoina	F	GREEK
Priault ::: Muriel	F	FRENCH
Yang ::: Hong-Lei	-	CHINESE
Sun ::: Zilin	-	CHINESE
Li ::: Lihua	-	CHINESE
Xia ::: Mingrui	-	CHINESE
He ::: Yong	-	CHINESE
Khan ::: Md Nabiul Islam	M	ARAB
Almeida ::: Eduardo A. C.	M	HISPANIC
Deblauwe ::: Vincent	M	FRENCH
Dumontet ::: Charles	M	FRENCH
Jia ::: Manhong	-	CHINESE
Lu ::: Lin	-	CHINESE
van der Wall ::: E.	-	DUTCH
Tarkia ::: Miikka	M	NORDIC-ARAB
Chen ::: Meiwan	-	CHINESE
Wang ::: Yitao	M	CHINESE
Ribeiro ::: Joaquim A.	M	HISPANIC
Oosthuizen ::: Maria K.	F	AFRICAN-HISPANIC
Lu ::: Jianping	-	CHINESE
Kaplan ::: Jed O.	M	ENGLISH
Zhu ::: Baoli	-	CHINESE
Mugasimangalam ::: Raja C.	M	INDIAN
Nair ::: Viswam S.	-	INDIAN
Lubec ::: Gert	M	GERMAN
Long ::: Li-Juan	M	CHINESE
Kataoka ::: Takao	M	JAPANESE
